year,month,date,permno,stock_exret,xgb
2010,1,2010-01-29,10104,-0.057888348,0.005950609
2010,1,2010-01-29,10107,-0.075459294,0.01605428
2010,1,2010-01-29,10145,-0.014285749,-0.0016189096
2010,1,2010-01-29,10147,-0.045792747,0.0066600777
2010,1,2010-01-29,10182,-0.126660943,0.009563064
2010,1,2010-01-29,10225,-0.037731506,0.009635551
2010,1,2010-01-29,10299,-0.145942375,0.009421389
2010,1,2010-01-29,10302,-0.048295476,0.098623216
2010,1,2010-01-29,10324,0.1071209982,0.050392587
2010,1,2010-01-29,10516,-0.042797834,-0.01703877
2010,1,2010-01-29,10693,-0.040490154,0.06876219
2010,1,2010-01-29,10909,-0.08224161,0.0043589678
2010,1,2010-01-29,11081,-0.101671316,0.01483339
2010,1,2010-01-29,11308,-0.048245613,0.015755415
2010,1,2010-01-29,11552,0.0197557192,-0.0029742215
2010,1,2010-01-29,11600,-0.046630636,-0.0040593008
2010,1,2010-01-29,11618,-0.003842456,-0.0008089673
2010,1,2010-01-29,11703,-0.031481959,0.03937933
2010,1,2010-01-29,11762,-0.037409578,-0.00057208445
2010,1,2010-01-29,11850,-0.055140078,-0.029970929
2010,1,2010-01-29,11891,0.212719366,0.03372321
2010,1,2010-01-29,11896,-0.139763787,0.035179812
2010,1,2010-01-29,11955,-0.052055664,0.00855478
2010,1,2010-01-29,12052,-0.013789053,0.010295929
2010,1,2010-01-29,12060,0.0627891496,0.0050583286
2010,1,2010-01-29,12062,-0.049973249,0.0019621109
2010,1,2010-01-29,12067,-0.104541585,0.018089246
2010,1,2010-01-29,12074,-0.072391085,-0.007944197
2010,1,2010-01-29,12140,-0.036420237,-0.0029187119
2010,1,2010-01-29,12490,-0.065011419,0.0048432127
2010,1,2010-01-29,12503,-0.042949542,-0.0063556656
2010,1,2010-01-29,12570,-0.028749503,-0.0135344
2010,1,2010-01-29,12650,-0.107840195,0.0147473775
2010,1,2010-01-29,13856,-0.0194079,0.010866116
2010,1,2010-01-29,13901,0.0117168343,0.048055522
2010,1,2010-01-29,13928,-0.060113564,-0.01044508
2010,1,2010-01-29,13936,-0.034169111,0.026584271
2010,1,2010-01-29,14008,0.0337634757,-0.0060458537
2010,1,2010-01-29,14541,-0.063254908,-0.016369324
2010,1,2010-01-29,14593,-0.088591158,0.0048688445
2010,1,2010-01-29,14656,-0.038697325,0.08779537
2010,1,2010-01-29,14702,-0.126255333,0.0148121575
2010,1,2010-01-29,14795,-0.054829154,0.0019652876
2010,1,2010-01-29,15069,-0.045163352,0.0024546795
2010,1,2010-01-29,15202,-0.161002472,0.004386683
2010,1,2010-01-29,15456,0.0269299466,0.02357028
2010,1,2010-01-29,15560,0.0010256645,0.010479971
2010,1,2010-01-29,15579,-0.132003054,0.013587438
2010,1,2010-01-29,16432,-0.053900722,-0.009394621
2010,1,2010-01-29,16600,0.0178820733,0.038489528
2010,1,2010-01-29,16678,0.0438382663,-0.0020898264
2010,1,2010-01-29,17005,0.0076839444,-0.002509187
2010,1,2010-01-29,17144,0.0139810769,0.0049500493
2010,1,2010-01-29,17478,0.0578932427,0.029074993
2010,1,2010-01-29,17726,-0.069194704,0.007931484
2010,1,2010-01-29,17750,-0.06780725,0.019112492
2010,1,2010-01-29,17778,0.1552419364,0.019191796
2010,1,2010-01-29,17830,-0.027805794,0.013060779
2010,1,2010-01-29,18163,0.0224311091,0.014592572
2010,1,2010-01-29,18403,-0.059376199,0.008814162
2010,1,2010-01-29,18542,-0.075978242,0.0028772727
2010,1,2010-01-29,18729,-0.020450428,0.009418858
2010,1,2010-01-29,19166,-0.086441889,0.009489433
2010,1,2010-01-29,19350,-0.076539092,0.011023045
2010,1,2010-01-29,19393,-0.035247501,-0.0083808
2010,1,2010-01-29,19502,-0.018246241,0.0095032025
2010,1,2010-01-29,19561,0.1195270121,0.011646451
2010,1,2010-01-29,19828,-0.017057553,0.008216364
2010,1,2010-01-29,20204,-0.003265852,0.018495902
2010,1,2010-01-29,20220,-0.002622214,-0.010131813
2010,1,2010-01-29,20482,-0.012039322,-0.0025316663
2010,1,2010-01-29,20626,-0.019543938,0.020091152
2010,1,2010-01-29,21020,-0.104786538,-0.0035678493
2010,1,2010-01-29,21186,-0.159273475,0.011457851
2010,1,2010-01-29,21207,-0.094060466,-0.0015494451
2010,1,2010-01-29,21371,0.0257443544,0.06259542
2010,1,2010-01-29,21573,-0.14451085,0.040769193
2010,1,2010-01-29,21936,0.0258383341,0.013526938
2010,1,2010-01-29,22103,-0.024882572,0.009739166
2010,1,2010-01-29,22111,-0.024064632,0.0077430564
2010,1,2010-01-29,22293,-0.063697547,-0.0025305646
2010,1,2010-01-29,22509,0.0023915167,0.01713943
2010,1,2010-01-29,22592,-0.026369909,0.011014823
2010,1,2010-01-29,22752,0.0448823012,-0.002868794
2010,1,2010-01-29,22779,-0.207474232,0.010308513
2010,1,2010-01-29,22840,-0.003284069,0.017588537
2010,1,2010-01-29,23077,0.0203461833,0.004762715
2010,1,2010-01-29,23393,-0.002646813,-0.0013120398
2010,1,2010-01-29,23579,0.0382775776,0.04771265
2010,1,2010-01-29,23660,-0.036823902,0.017973313
2010,1,2010-01-29,23819,-0.029245632,0.0075446046
2010,1,2010-01-29,23887,-0.025608171,0.025204036
2010,1,2010-01-29,24272,0.0199394487,0.00754651
2010,1,2010-01-29,24459,-0.08084359,0.005283998
2010,1,2010-01-29,24643,-0.210297838,-0.026068088
2010,1,2010-01-29,24766,0.0134288277,0.010966747
2010,1,2010-01-29,24942,0.0176630411,0.002521777
2010,1,2010-01-29,25304,-0.070276119,-0.030132286
2010,1,2010-01-29,25320,-0.020414161,0.0042547807
2010,1,2010-01-29,25419,-0.067939535,0.007317453
2010,1,2010-01-29,25582,-0.097371213,0.006048561
2010,1,2010-01-29,25785,0.0840000138,-0.009883086
2010,1,2010-01-29,25953,0.0305215195,0.019796845
2010,1,2010-01-29,26382,-0.083075412,-0.0067273295
